config|threshold|f1|precision|recall|execution_time
{'blocking_params': {'n': 3}, 'blocking': 'ngram_word_blocks', 'matching': 'cosine'}|0.5|0.9866881807180315|1.0|0.9737261146496815|1.5031988620758057
{'blocking_params': {'n': 3}, 'blocking': 'ngram_word_blocks', 'matching': 'cosine'}|0.6|0.998112317130722|1.0|0.9962317475270843|1.5031988620758057
{'blocking_params': {'n': 3}, 'blocking': 'ngram_word_blocks', 'matching': 'cosine'}|0.7|0.9992119779353822|1.0|0.9984251968503937|1.5031988620758057
{'blocking_params': {'n': 3}, 'blocking': 'ngram_word_blocks', 'matching': 'cosine'}|0.8|1.0|1.0|1.0|1.5031988620758057
{'blocking_params': {'n': 3}, 'blocking': 'ngram_word_blocks', 'matching': 'cosine'}|0.9|1.0|1.0|1.0|1.5031988620758057
{'blocking_params': {'n': 3}, 'blocking': 'ngram_word_blocks', 'matching': 'cosine'}|0.95|1.0|1.0|1.0|1.5031988620758057
{'blocking_params': {'n': 3}, 'blocking': 'ngram_word_blocks', 'matching': 'jaccard', 'matching_weights': [0.3, 0.3, 0.3]}|0.5|0.9962370649106302|1.0|0.9925023430178069|0.2729170322418213
{'blocking_params': {'n': 3}, 'blocking': 'ngram_word_blocks', 'matching': 'jaccard', 'matching_weights': [0.3, 0.3, 0.3]}|0.6|0.9994547437295529|1.0|0.9989100817438692|0.2729170322418213
{'blocking_params': {'n': 3}, 'blocking': 'ngram_word_blocks', 'matching': 'jaccard', 'matching_weights': [0.3, 0.3, 0.3]}|0.7|1.0|1.0|1.0|0.2729170322418213
{'blocking_params': {'n': 3}, 'blocking': 'ngram_word_blocks', 'matching': 'jaccard', 'matching_weights': [0.3, 0.3, 0.3]}|0.8|1.0|1.0|1.0|0.2729170322418213
{'blocking_params': {'n': 3}, 'blocking': 'ngram_word_blocks', 'matching': 'jaccard', 'matching_weights': [0.3, 0.3, 0.3]}|0.9|0|0|0|0.2729170322418213
{'blocking_params': {'n': 3}, 'blocking': 'ngram_word_blocks', 'matching': 'jaccard', 'matching_weights': [0.3, 0.3, 0.3]}|0.95|0|0|0|0.2729170322418213
